carat	cert	price
0.52	IGI	3095
0.55	IGI	3706
0.56	IGI	4070
0.56	IGI	3470
0.58	IGI	4831
0.58	IGI	4209
0.58	IGI	3821
0.7	IGI	5607
0.7	IGI	5326
0.71	IGI	6160
0.76	IGI	6095
0.78	IGI	5937
1	IGI	9342
1.01	IGI	9713
1.01	IGI	8873
1.01	IGI	8175
0.5	HRD	3778
0.5	HRD	3432
0.51	HRD	3851
0.52	HRD	3346
0.52	HRD	3130
0.53	HRD	3995
0.53	HRD	3701
0.55	HRD	3529
0.56	HRD	3667
0.56	HRD	3202
0.57	HRD	3256
0.57	HRD	3415
0.58	HRD	3792
0.6	HRD	3925
0.6	HRD	3421
0.6	HRD	3925
0.61	HRD	3616
0.62	HRD	3615
0.64	HRD	3785
0.65	HRD	3643
0.66	HRD	4300
0.7	HRD	6867
0.7	HRD	6285
0.7	HRD	5800
0.7	HRD	5510
0.7	HRD	4346
0.71	HRD	6372
0.71	HRD	5193
0.72	HRD	5662
0.73	HRD	5333
0.73	HRD	6041
0.74	HRD	5815
0.8	HRD	8611
0.8	HRD	6905
0.8	HRD	6905
0.8	HRD	6416
0.8	HRD	6051
0.81	HRD	8715
0.81	HRD	6988
0.81	HRD	6988
0.81	HRD	6495
0.81	HRD	7358
0.82	HRD	6572
0.82	HRD	7072
0.85	HRD	8359
0.85	HRD	6805
0.85	HRD	7711
0.86	HRD	5835
1	HRD	13775
1	HRD	14051
1	HRD	11419
1	HRD	10588
1	HRD	11696
1	HRD	10588
1	HRD	10450
1	HRD	9896
1	HRD	9203
1	HRD	9480
1	HRD	9065
1	HRD	8788
1	HRD	8788
1	HRD	8372
1	HRD	8095
1	HRD	7818
1.01	HRD	13909
1.01	HRD	11531
1.01	HRD	10692
1.01	HRD	11811
1.01	HRD	10272
1.01	HRD	9993
1.01	HRD	9293
1.01	HRD	9433
1.01	HRD	9153
1.01	HRD	8873
1.01	HRD	8175
1.02	HRD	10796
1.06	HRD	9890
1.02	HRD	8959
1.09	HRD	9107
